prénom,nom,match_played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Save% (Penalty Kicks),PSxG/SoT,Passes Attempted (Launched),Pass Completion Percentage (Launched),Goals,Assists,Yellow Cards,Red Cards,Progressive Carries,Progressive Passes,Shots on Target,Goals/Shot,Passes Completed,Pass Completion %,Key Passes,Crosses,Tackles Won,Blocks,Interceptions,Clearances,Errors,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
Neto,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,Raya,13,0.78,2.64,1.84,0.47,40.0%,0.21,12.82,35.9%,,,,,,,,,,,,,,,,,,,,,,,
Tommy,Setford,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack,Porter,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksei,Fedorushchenko,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldini,Kacurri,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh,Nichols,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh,Robinson,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salah,Oulad M'Hand,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan,Butler-Oyedeji,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimi,Gower,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismeal,Kabia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurrien,Timber,10,,,,,,,,,0.00,0.12,0.49,0.00,1.48,3.81,0.00,0.00,34.43,80.9%,1.23,1.11,1.35,1.23,0.49,2.46,0.12,1.48,0.49,0.12,0.00,0.00,0.00
William,Saliba,12,,,,,,,,,0.04,0.00,0.15,0.02,0.45,3.58,0.06,0.18,64.38,91.8%,0.09,0.06,0.95,0.80,0.71,2.42,0.09,0.84,0.50,0.00,0.00,0.02,0.00
Gabriel,Martinelli,13,,,,,,,,,0.26,0.16,0.07,0.00,5.63,2.23,0.82,0.12,26.44,76.2%,1.93,3.73,0.92,0.95,0.10,0.69,0.03,1.01,0.95,0.29,0.00,0.00,0.00
Gabriel,Magalhaes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran,Tierney,0,,,,,,,,,0.00,0.09,0.09,0.00,1.60,6.23,0.00,0.00,50.34,76.5%,0.62,2.05,1.78,1.60,0.71,3.65,0.00,0.44,0.53,0.00,0.00,0.00,0.00
Takehiro,Tomiyasu,1,,,,,,,,,0.08,0.25,0.00,0.00,1.57,5.78,0.08,0.08,41.20,82.1%,0.83,1.32,0.99,0.91,1.24,2.15,0.00,1.07,0.66,0.08,0.00,0.00,0.00
Leandro,Trossard,13,,,,,,,,,0.52,0.07,0.14,0.03,2.85,3.93,0.97,0.19,24.27,73.7%,1.15,2.44,0.77,1.25,0.49,0.56,0.03,0.91,1.18,0.28,0.03,0.00,0.00
Declan,Rice,12,,,,,,,,,0.11,0.18,0.25,0.02,2.32,7.50,0.41,0.08,51.48,86.6%,1.33,2.97,1.19,0.92,1.10,1.53,0.00,0.92,0.50,0.05,0.00,0.05,0.00
Mikel,Merino,6,,,,,,,,,0.28,0.11,0.28,0.00,0.78,6.34,0.53,0.20,36.46,75.7%,0.78,0.78,1.55,1.34,0.70,2.01,0.07,2.25,1.66,0.21,0.00,0.04,0.00
Oleksandr,Zinchenko,3,,,,,,,,,0.06,0.13,0.13,0.00,2.09,12.96,0.19,0.11,71.99,86.9%,1.33,1.26,1.45,1.26,1.14,1.77,0.06,0.57,0.51,0.00,0.00,0.00,0.00
Martin,Ødegaard,3,,,,,,,,,0.18,0.29,0.06,0.00,2.64,10.30,0.53,0.09,49.11,84.8%,2.96,2.03,0.53,0.53,0.56,0.12,0.00,0.88,1.14,0.06,0.00,0.00,0.00
Ben,White,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raheem,Sterling,6,,,,,,,,,0.34,0.27,0.34,0.00,4.73,3.72,1.01,0.15,23.51,73.6%,1.35,2.50,0.41,0.88,0.74,0.54,0.07,2.09,1.62,0.41,0.07,0.00,0.00
Gabriel,Jesus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorginho,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai,Havertz,13,,,,,,,,,0.42,0.16,0.25,0.00,1.73,2.94,0.95,0.18,22.58,78.5%,1.34,0.42,0.46,0.99,0.53,1.13,0.02,1.87,1.43,0.51,0.02,0.00,0.00
Thomas,Partey,13,,,,,,,,,0.06,0.00,0.33,0.00,0.55,5.95,0.22,0.08,51.83,87.2%,0.61,0.17,1.65,0.94,1.32,1.82,0.11,1.60,1.16,0.00,0.00,0.06,0.00
Ayden,Heaven,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles,Lewis-Skelly,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan,Nwaneri,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub,Kiwior,5,,,,,,,,,0.07,0.21,0.14,0.00,0.42,4.33,0.21,0.10,41.09,82.1%,0.63,0.77,1.12,0.84,0.84,2.59,0.07,1.19,0.28,0.00,0.00,0.00,0.00
Riccardo,Calafiori,9,,,,,,,,,0.12,0.19,0.23,0.00,1.04,4.01,0.42,0.13,58.58,88.1%,0.69,0.46,1.50,1.39,1.62,2.97,0.04,1.58,1.12,0.04,0.00,0.04,0.04
Bukayo,Saka,11,,,,,,,,,0.48,0.38,0.10,0.00,4.47,3.84,1.08,0.12,31.53,75.8%,2.69,5.32,1.05,1.15,0.40,0.78,0.00,1.13,2.38,0.33,0.03,0.00,0.00
Emiliano,Martinez,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin,Olsen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,Gauci,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliwier,Zych,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam,Proctor,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sil,Swinkels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triston,Rowe,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thierry,Katsukunya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben,Broggio,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidan,Borland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaldeen,Jimoh,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,McGinn,10,,,,,,,,,0.16,0.10,0.29,0.03,1.88,5.26,0.38,0.12,28.93,79.1%,1.18,2.33,1.18,1.12,0.61,0.70,0.00,1.08,2.23,0.06,0.00,0.00,0.00
Pau,Torres,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emi,Buendia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matty,Cash,6,,,,,,,,,0.00,0.05,0.32,0.00,2.45,4.10,0.27,0.00,43.56,79.4%,0.59,1.91,1.06,1.33,0.90,3.03,0.00,1.38,0.85,0.00,0.00,0.16,0.00
Diego,Carlos,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boubacar,Kamara,3,,,,,,,,,0.00,0.11,0.43,0.11,1.29,4.71,0.11,0.00,53.14,89.2%,0.75,0.21,1.29,1.39,1.50,1.07,0.00,1.93,1.50,0.00,0.00,0.00,0.00
Tyrone,Mings,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross,Barkley,11,,,,,,,,,0.20,0.17,0.33,0.00,1.73,5.48,0.66,0.09,43.12,83.4%,1.50,1.20,0.66,0.93,0.83,1.79,0.03,0.96,1.10,0.00,0.00,0.00,0.00
Ezri,Konsa,12,,,,,,,,,0.06,0.00,0.11,0.00,1.22,4.15,0.14,0.11,53.40,91.1%,0.26,0.57,0.88,0.82,0.80,2.19,0.06,0.31,1.82,0.00,0.00,0.03,0.00
Ollie,Watkins,13,,,,,,,,,0.52,0.30,0.11,0.00,1.62,1.29,1.20,0.18,11.96,73.9%,1.04,0.38,0.22,0.55,0.19,0.49,0.00,0.93,1.18,0.44,0.00,0.00,0.00
Kortney,Hause,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youri,Tielemans,13,,,,,,,,,0.10,0.31,0.17,0.00,1.18,6.92,0.31,0.12,46.32,82.1%,1.39,2.78,1.29,1.11,0.90,0.73,0.00,1.36,1.63,0.00,0.00,0.00,0.00
Lucas,Digne,12,,,,,,,,,0.04,0.11,0.22,0.00,1.24,2.34,0.15,0.05,36.77,76.3%,1.20,4.97,1.02,0.84,1.02,2.67,0.00,1.06,0.77,0.15,0.00,0.00,0.00
Leon,Bailey,11,,,,,,,,,0.27,0.35,0.23,0.00,4.25,3.55,0.62,0.13,23.43,72.4%,2.12,2.93,0.27,0.77,0.27,0.39,0.04,1.12,1.24,0.50,0.00,0.00,0.00
Kosta,Nedeljkovic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis,Patterson,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadan,Young,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamare,Bogarde,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaden,Philogene-Bidace,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian,Maatsen,11,,,,,,,,,0.12,0.08,0.36,0.00,2.63,5.18,0.28,0.16,56.26,85.4%,0.76,2.07,1.59,1.51,1.12,2.83,0.12,1.12,0.60,0.08,0.00,0.00,0.00
Amadou,Onana,12,,,,,,,,,0.22,0.00,0.35,0.00,0.93,3.71,0.35,0.18,37.24,87.1%,0.62,0.09,1.59,1.06,1.32,1.76,0.09,1.94,1.59,0.00,0.00,0.04,0.00
Jacob,Ramsey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhon,Duran,13,,,,,,,,,1.04,0.00,0.69,0.00,1.15,1.50,1.50,0.24,14.17,65.8%,0.58,0.81,1.04,1.04,0.23,1.96,0.00,1.73,2.07,0.81,0.12,0.00,0.00
Morgan,Rogers,13,,,,,,,,,0.32,0.21,0.26,0.00,3.26,3.78,0.74,0.16,20.37,76.4%,1.68,0.37,0.26,1.05,0.37,0.95,0.00,1.31,1.26,0.00,0.00,0.00,0.00
Marcus,Bettinelli,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert,Sanchez,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip,Jorgensen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas,Bergstrom,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,Merrick,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari,Kellyman,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malo,Gusto,8,,,,,,,,,0.00,0.19,0.43,0.00,3.04,4.75,0.28,0.00,57.58,85.8%,1.52,3.13,1.52,1.61,1.09,2.33,0.09,1.09,1.38,0.24,0.00,0.05,0.00
Cole,Palmer,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiernan,Dewsbury Hall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moises,Caicedo,10,,,,,,,,,0.06,0.14,0.32,0.00,0.92,5.32,0.12,0.13,56.31,88.9%,0.83,0.43,1.70,1.81,1.38,1.41,0.09,1.67,1.55,0.00,0.00,0.00,0.00
Enzo,Fernandez,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mykhailo,Mudryk,8,,,,,,,,,0.19,0.13,0.26,0.00,5.29,2.84,0.71,0.10,21.94,69.4%,1.87,4.13,0.58,0.77,0.52,0.52,0.00,1.42,1.48,0.13,0.13,0.00,0.00
Reece,James,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joao,Felix,7,,,,,,,,,0.57,0.07,0.35,0.00,4.18,4.11,1.42,0.14,33.12,79.3%,0.92,0.92,0.64,0.57,0.35,0.71,0.00,1.28,3.19,0.57,0.00,0.00,0.00
Marc,Cucurella,10,,,,,,,,,0.00,0.09,0.52,0.00,1.51,2.60,0.13,0.00,49.28,86.9%,0.82,0.87,1.64,1.82,0.95,2.55,0.00,1.13,1.82,0.09,0.04,0.04,0.04
Wesley,Fofana,9,,,,,,,,,0.00,0.00,0.70,0.00,0.81,1.86,0.00,0.00,54.05,88.6%,0.46,0.12,1.04,1.51,1.39,4.52,0.12,1.97,1.28,0.00,0.00,0.00,0.00
Christopher,Nkunku,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben,Chilwell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tosin,Adarabioyo,5,,,,,,,,,0.10,0.00,0.15,0.00,0.50,3.22,0.25,0.14,58.69,85.3%,0.15,0.05,0.65,0.86,1.31,4.23,0.00,0.60,0.25,0.00,0.00,0.00,0.00
Pedro,Neto,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel,Disasi,4,,,,,,,,,0.05,0.00,0.19,0.00,1.05,3.39,0.10,0.11,65.82,89.4%,0.05,0.24,0.91,0.91,0.72,3.86,0.05,0.57,0.62,0.05,0.00,0.00,0.05
Jadon,Sancho,5,,,,,,,,,0.15,0.25,0.10,0.00,5.22,5.47,0.25,0.23,36.60,80.3%,2.09,2.34,0.60,1.04,0.30,0.40,0.00,0.30,0.65,0.25,0.10,0.00,0.00
Tyrique,George,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiano,Dyer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh,Acheampong,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc,Guiu,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deivid,Washington,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesare,Casadei,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato,Veiga,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo,Lavia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
